n,B,U,C,D,D-C
1000,33,360,8090,8109,19
1000,35,361,6258,10774,4516
1000,14,352,7212,9888,2676
1000,36,358,9609,12867,3258
1000,19,378,6633,8720,2087
1000,49,358,6742,11295,4553
1000,7,366,7166,10038,2872
1000,20,374,7848,12108,4260
1000,28,374,6253,8090,1837
1000,20,370,6782,8090,1308
1000,33,356,7331,8786,1455
1000,19,366,6659,9823,3164
1000,24,381,6793,8200,1407
1000,7,357,6499,9288,2789
1000,43,358,8236,10497,2261
1000,70,369,6697,8118,1421
1000,26,368,6627,9699,3072
1000,37,378,6653,8018,1365
1000,27,353,7775,9324,1549
1000,23,399,6665,11544,4879
1000,18,359,7292,10526,3234
1000,56,373,8047,10214,2167
1000,86,361,7148,9151,2003
1000,26,390,8553,10888,2335
1000,13,371,7394,10616,3222
1000,58,344,8134,8220,86
1000,16,365,6950,8773,1823
1000,71,354,6956,12382,5426
1000,51,375,6160,9381,3221
1000,54,367,8541,9642,1101
1000,23,368,7254,8181,927
1000,42,363,9990,10855,865
1000,35,374,7708,10270,2562
1000,65,376,6492,8998,2506
1000,34,377,7387,9071,1684
1000,60,376,6196,8952,2756
1000,47,370,5979,8274,2295
1000,34,375,6866,9779,2913
1000,64,363,8719,12024,3305
1000,49,359,7139,8547,1408
1000,63,369,7284,8803,1519
1000,49,370,8702,10564,1862
1000,62,361,7005,7963,958
1000,21,364,7482,9139,1657
1000,59,380,5578,11149,5571
1000,35,364,12346,13066,720
1000,48,374,7392,9437,2045
1000,42,363,10496,10556,60
1000,27,373,6517,9006,2489
1000,25,365,7216,10095,2879
2000,79,727,13193,18887,5694
2000,92,722,15621,21331,5710
2000,13,734,14589,19343,4754
2000,95,723,15275,21485,6210
2000,33,747,16627,20752,4125
2000,11,758,15107,18974,3867
2000,30,719,13686,17354,3668
2000,23,729,19389,22977,3588
2000,45,762,17422,24213,6791
2000,71,743,16662,19654,2992
2000,45,738,16460,27862,11402
2000,73,735,15873,23411,7538
2000,65,737,21929,23573,1644
2000,97,714,14187,17169,2982
2000,115,751,13540,22834,9294
2000,71,722,21689,22462,773
2000,37,753,13396,18362,4966
2000,70,732,19202,26387,7185
2000,66,745,14242,24418,10176
2000,84,724,15193,20156,4963
2000,79,734,14403,20560,6157
2000,23,712,15060,20928,5868
2000,48,734,13776,18968,5192
2000,37,710,14720,20589,5869
2000,136,721,14770,19107,4337
2000,47,733,15545,16935,1390
2000,80,748,15132,20723,5591
2000,77,702,16887,22108,5221
2000,32,734,13972,24014,10042
2000,19,732,14030,18809,4779
2000,71,764,16732,20524,3792
2000,57,728,18079,19214,1135
2000,22,787,15856,21163,5307
2000,94,753,16464,22490,6026
2000,46,746,16277,20853,4576
2000,23,738,12523,16360,3837
2000,45,755,20258,23956,3698
2000,48,730,14736,20288,5552
2000,74,724,15205,19362,4157
2000,28,720,14558,26147,11589
2000,44,727,12512,20194,7682
2000,50,751,18269,21930,3661
2000,90,709,14810,16494,1684
2000,38,745,17423,20160,2737
2000,72,729,15922,20131,4209
2000,55,739,14840,22208,7368
2000,131,729,15159,19475,4316
2000,17,763,16937,18234,1297
2000,77,724,12671,17037,4366
2000,25,749,15969,25268,9299
3000,36,1112,33570,34797,1227
3000,84,1115,24455,31590,7135
3000,18,1111,22584,38566,15982
3000,42,1093,22403,36759,14356
3000,107,1070,24830,29556,4726
3000,111,1132,25424,28505,3081
3000,94,1094,22375,30761,8386
3000,145,1074,23396,32826,9430
3000,21,1111,21826,31946,10120
3000,27,1130,25110,32017,6907
3000,45,1111,25713,36896,11183
3000,12,1091,24204,29565,5361
3000,39,1094,26568,35512,8944
3000,39,1068,25444,33284,7840
3000,93,1109,20632,28618,7986
3000,52,1089,22893,32282,9389
3000,84,1117,25586,31515,5929
3000,99,1122,26574,38993,12419
3000,24,1129,27588,35557,7969
3000,78,1091,29899,29934,35
3000,74,1094,30470,34633,4163
3000,76,1092,24243,33486,9243
3000,47,1108,30007,36297,6290
3000,98,1102,24960,26387,1427
3000,30,1095,25292,36133,10841
3000,129,1107,22681,34589,11908
3000,48,1100,24924,34001,9077
3000,101,1115,29048,31775,2727
3000,87,1114,30642,32618,1976
3000,52,1131,23830,28880,5050
3000,104,1100,22788,27885,5097
3000,90,1075,32155,36896,4741
3000,75,1129,23913,32210,8297
3000,57,1109,25067,28321,3254
3000,72,1091,22341,35344,13003
3000,54,1100,21113,28631,7518
3000,121,1111,22816,28963,6147
3000,45,1104,21784,29646,7862
3000,116,1091,32903,38313,5410
