CSMA/CD Simulation Results
==================================================
Medium Length: 80
Number of Nodes: 3
Node Positions: a@10, b@30, c@50
==================================================

Tick 0000: ________________________________________________________________________________ 
Tick 0001: ________________________________________________________________________________ 
Tick 0002: ________________________________________________________________________________ 
Tick 0003: ________________________________________________________________________________ 
Tick 0004: __________a___________________b___________________c_____________________________ 
Tick 0005: _________aaa_________________bbb_________________ccc____________________________ 
Tick 0006: ________aaaaa_______________bbbbb_______________ccccc___________________________ 
Tick 0007: _______aaaaaaa_____________bbbbbbb_____________ccccccc__________________________ 
Tick 0008: ______aaaaaaaaa___________bbbbbbbbb___________ccccccccc_________________________ 
Tick 0009: _____aaaaaaaaaaa_________bbbbbbbbbbb_________ccccccccccc________________________ 
Tick 0010: ____aaaaaaaaaaaaa_______bbbbbbbbbbbbb_______ccccccccccccc_______________________ 
Tick 0011: ___aaaaaaaaaaaaaaa_____bbbbbbbbbbbbbbb_____ccccccccccccccc______________________ 
Tick 0012: __aaaaaaaaaaaaaaaaa___bbbbbbbbbbbbbbbbb___ccccccccccccccccc_____________________ 
Tick 0013: _aaaaaaaaaaaaaaaaaaa_bbbbbbbbbbbbbbbbbbb_ccccccccccccccccccc____________________ 
Tick 0014: aaaaaaaaaaaaaaaaaaaaxbbbbbbbbbbbbbbbbbbbxcccccccccccccccccccc___________________ 
Tick 0015: aaaaaaaaaaaaaaaaaaaxxxbbbbbbbbbbbbbbbbbxxxcccccccccccccccccccc__________________ 
Tick 0016: aaaaaaaaaaaaaaaaaaxxxxxbbbbbbbbbbbbbbbxxxxxcccccccccccccccccccc_________________ 
Tick 0017: aaaaaaaaaaaaaaaaaxxxxxxxbbbbbbbbbbbbbxxxxxxxcccccccccccccccccccc________________ 
Tick 0018: aaaaaaaaaaaaaaaaxxxxxxxxxbbbbbbbbbbbxxxxxxxxxcccccccccccccccccccc_______________ 
Tick 0019: aaaaaaaaaaaaaaaxxxxxxxxxxxbbbbbbbbbxxxxxxxxxxxcccccccccccccccccccc______________ 
Tick 0020: aaaaaaaaaaaaaaxxxxxxxxxxxxxbbbbbbbxxxxxxxxxxxxxcccccccccccccccccccc_____________ 
Tick 0021: aaaaaaaaaaaaaxxxxxxxxxxxxxxxbbbbbxxxxxxxxxxxxxxxcccccccccccccccccccc____________ 
Tick 0022: aaaaaaaaaaaaxxxxxxxxxxxxxxxxxbbbxxxxxxxxxxxxxxxxxcccccccccccccccccccc___________ 
Tick 0023: aaaaaaaaaaaxxxxxxxxxxxxxxxxxxxbxxxxxxxxxxxxxxxxxxxcccccccccccccccccccc__________ 
Tick 0024: aaaaaaaaaaxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxcccccccccccccccccccc_________ a(x=10) collision (retrying Frame_a_9079) b(x=30) collision (retrying Frame_b_5473) c(x=50) collision (retrying Frame_c_6868) 
Tick 0025: aaaaaaaaabxbxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxbxbcccccccccccccccccccc________ 
Tick 0026: aaaaaaaabxxxbxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxbxxxbcccccccccccccccccccc_______ 
Tick 0027: aaaaaaabxxxxxbxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxbxxxxxbcccccccccccccccccccc______ 
Tick 0028: aaaaaabxxxxxxxbxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxbxxxxxxxbcccccccccccccccccccc_____ 
Tick 0029: aaaaabxxxxxxxxxbxxxxxxxxxxxxxxxxxxxxxxxxxxxxxbxxxxxxxxxbcccccccccccccccccccc____ 
Tick 0030: aaaabxxxxxxxxxxxbxxxxxxxxxxxxxxxxxxxxxxxxxxxbxxxxxxxxxxxbcccccccccccccccccccc___ 
Tick 0031: aaabxxxxxxxxxxxxxbxxxxxxxxxxxxxxxxxxxxxxxxxbxxxxxxxxxxxxxbcccccccccccccccccccc__ 
Tick 0032: aabxxxxxxxxxxxxxxxbxxxxxxxxxxxxxxxxxxxxxxxbxxxxxxxxxxxxxxxbcccccccccccccccccccc_ 
Tick 0033: abxxxxxxxxxxxxxxxxxbxxxxxxxxxxxxxxxxxxxxxbxxxxxxxxxxxxxxxxxbcccccccccccccccccccc 
Tick 0034: bxxxxxxxxxxxxxxxxxxxcxxxxxxxxxxxxxxxxxxxaxxxxxxxxxxxxxxxxxxxbccccccccccccccccccc 
Tick 0035: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxbcccccccccccccccccc 
