-1 35 15 15
0.000875 18 5 4 I
0.036559 18 6 4 I
0.080997 18 15 15 I
0.000871 16 14 14 G
0.017523 16 0 14 G
0.046786 16 14 14 G
0.073780 16 14 0 G
0.112871 16 0 0 G
0.135996 16 14 0 G
0.164409 16 14 1 G
0.193185 16 15 15 G
0.000877 20 8 10 K
0.039765 20 7 10 K
0.073735 20 7 11 K
0.106934 20 7 10 K
0.142728 20 7 9 K
0.175794 20 6 9 K
0.209597 20 7 9 K
0.253842 20 7 8 K
0.266514 20 7 9 K
0.287171 20 8 9 K
0.322194 20 8 10 K
0.341117 20 7 10 K
0.371151 20 6 10 K
0.400274 20 15 15 K
0.000867 14 12 5 E
0.026301 14 12 6 E
0.063553 14 11 6 E
0.095553 14 11 5 E
0.118586 14 12 5 E
0.147681 14 13 5 E
0.188201 14 14 5 E
0.220344 14 14 6 E
0.239982 14 0 6 E
0.262824 14 14 6 E
0.276515 14 13 6 E
0.298330 14 13 5 E
0.345605 14 13 6 E
0.365555 14 12 6 E
0.403591 14 12 7 E
0.443868 14 15 15 E
0.000882 24 11 6 O
0.043259 24 11 7 O
0.080918 24 12 7 O
0.107110 24 12 8 O
0.144127 24 12 9 O
0.174619 24 11 9 O
0.198514 24 11 10 O
0.222731 24 10 10 O
0.250365 24 10 11 O
0.285820 24 9 11 O
0.315282 24 9 10 O
0.341073 24 9 9 O
0.388938 24 9 10 O
0.400450 24 9 11 O
0.430347 24 9 10 O
0.461851 24 9 9 O
0.494914 24 9 10 O
0.523620 24 10 10 O
0.000880 22 9 13 M
0.019828 22 9 14 M
0.055900 22 9 13 M
0.085154 22 9 14 M
0.109249 22 9 13 M
0.155227 22 9 12 M
0.170083 22 10 12 M
0.210772 22 9 12 M
0.225141 22 8 12 M
0.266357 22 8 13 M
0.277672 22 8 12 M
0.324387 22 8 11 M
0.360656 22 8 12 M
0.393431 22 8 13 M
0.440626 22 7 13 M
0.466712 22 8 13 M
0.492266 22 8 14 M
0.538159 22 7 14 M
0.549882 22 8 14 M
0.562374 22 8 0 M
0.605103 22 8 14 M
0.650995 22 7 14 M
0.687441 22 6 14 M
0.711439 22 7 14 M
0.739176 22 7 13 M
0.754233 22 6 13 M
0.778037 22 6 12 M
0.808003 22 6 13 M
0.000876 19 8 11 J
0.041026 19 8 12 J
0.064776 19 8 13 J
0.086379 19 7 13 J
0.119773 19 8 13 J
0.163129 19 7 13 J
0.210926 19 7 14 J
0.254066 19 7 13 J
0.283436 19 8 13 J
0.314070 19 8 14 J
0.338623 19 7 14 J
0.379619 19 8 14 J
0.401275 19 9 14 J
0.433769 19 8 14 J
0.477212 19 9 14 J
0.513598 19 9 13 J
0.544325 19 10 13 J
0.562329 19 9 13 J
0.593152 19 8 13 J
0.632330 19 9 13 J
0.655642 19 8 13 J
0.699799 19 9 13 J
0.722429 19 8 13 J
0.763584 19 8 14 J
0.810385 19 8 0 J
0.835894 19 7 0 J
0.882798 19 7 1 J
0.614900 26 0 2 1
0.959658 26 15 15 1
0.000861 11 13 10 B
0.012290 11 14 10 B
0.039786 11 14 9 B
0.076299 11 0 9 B
0.110584 11 14 9 B
0.135922 11 14 8 B
0.147610 11 14 9 B
0.188048 11 0 9 B
0.210803 11 0 10 B
0.242508 11 1 10 B
0.288251 11 1 11 B
0.311619 11 1 12 B
0.346880 11 1 13 B
0.378338 11 1 12 B
0.398892 11 1 13 B
0.418087 11 1 12 B
0.461901 11 1 13 B
0.496019 11 1 12 B
0.520979 11 0 12 B
0.566060 11 14 12 B
0.597865 11 13 12 B
0.635666 11 14 12 B
0.648662 11 14 13 B
0.670512 11 13 13 B
0.708105 11 14 13 B
0.754126 11 0 13 B
0.785278 11 14 13 B
0.800362 11 13 13 B
0.824189 11 13 12 B
0.862729 11 12 12 B
0.900383 11 11 12 B
0.923610 11 11 11 B
0.967028 11 11 12 B
0.991855 11 11 11 B
1.021173 11 10 11 B
1.032286 11 10 12 B
1.059006 11 10 13 B
1.072019 11 10 14 B
1.097729 11 15 15 B
0.000869 15 5 6 F
0.027528 15 5 5 F
0.053451 15 5 4 F
0.089785 15 6 4 F
0.106836 15 5 4 F
0.132285 15 5 5 F
0.168795 15 4 5 F
0.191765 15 3 5 F
0.228546 15 3 4 F
0.258414 15 2 4 F
0.279045 15 2 5 F
0.329113 15 3 5 F
0.355836 15 3 4 F
0.371061 15 4 4 F
0.386387 15 4 5 F
0.434957 15 4 4 F
0.453161 15 4 3 F
0.472545 15 4 2 F
0.487314 15 4 3 F
0.513583 15 5 3 F
0.538174 15 6 3 F
0.581545 15 6 2 F
0.599057 15 7 2 F
0.629849 15 6 2 F
0.646194 15 6 1 F
0.676579 15 5 1 F
0.702413 15 6 1 F
0.743978 15 6 0 F
0.758547 15 7 0 F
0.795699 15 7 14 F
0.814929 15 8 14 F
0.826633 15 7 14 F
0.844220 15 7 13 F
0.890749 15 7 14 F
0.921346 15 8 14 F
0.936953 15 8 0 F
0.951597 15 8 1 F
0.962058 15 8 2 F
0.974110 15 8 1 F
1.016419 15 8 0 F
1.050944 15 9 0 F
1.092230 15 10 0 F
1.118014 15 15 15 F
0.000881 23 1 8 N
0.044399 23 1 7 N
0.075024 23 1 6 N
0.105579 23 0 6 N
0.138375 23 1 6 N
0.184612 23 1 7 N
0.207307 23 1 6 N
0.235222 23 2 6 N
0.247827 23 1 6 N
0.294878 23 1 5 N
0.336014 23 1 6 N
0.359326 23 0 6 N
0.387617 23 0 7 N
0.403563 23 1 7 N
0.447197 23 2 7 N
0.463178 23 2 8 N
0.479617 23 2 9 N
0.527136 23 2 8 N
0.575643 23 2 7 N
0.605117 23 2 6 N
0.654432 23 2 5 N
0.676415 23 1 5 N
0.704763 23 1 4 N
0.720063 23 0 4 N
0.737857 23 14 4 N
0.774726 23 0 4 N
0.808181 23 0 3 N
0.839624 23 0 4 N
0.876024 23 0 3 N
0.888293 23 1 3 N
0.930979 23 0 3 N
0.975499 23 14 3 N
1.006700 23 13 3 N
1.054614 23 13 2 N
1.097838 23 13 1 N
1.133620 23 14 1 N
1.168955 23 15 15 N
0.000863 12 6 14 C
0.016486 12 6 13 C
0.051096 12 5 13 C
0.069085 12 4 13 C
0.086477 12 3 13 C
0.100001 12 3 14 C
0.138449 12 3 0 C
0.186884 12 3 14 C
0.236353 12 3 0 C
0.262923 12 4 0 C
0.300568 12 4 14 C
0.325629 12 3 14 C
0.361875 12 4 14 C
0.373641 12 5 14 C
0.404681 12 5 13 C
0.447273 12 6 13 C
0.494838 12 6 12 C
0.541912 12 6 13 C
0.565937 12 6 12 C
0.587608 12 6 13 C
0.610186 12 6 12 C
0.624924 12 7 12 C
0.668181 12 7 13 C
0.701136 12 7 12 C
0.723661 12 8 12 C
0.734264 12 9 12 C
0.762326 12 9 13 C
0.801620 12 9 12 C
0.832327 12 10 12 C
0.868269 12 9 12 C
0.915109 12 9 13 C
0.928526 12 10 13 C
0.960801 12 10 14 C
0.971710 12 9 14 C
1.017738 12 10 14 C
1.047148 12 9 14 C
1.075447 12 9 13 C
1.110247 12 9 14 C
1.125620 12 10 14 C
1.198517 12 15 15 C
0.000873 17 10 6 H
0.018683 17 10 7 H
0.033039 17 10 8 H
0.070434 17 9 8 H
0.093114 17 9 7 H
0.114123 17 9 8 H
0.144032 17 9 7 H
0.160622 17 9 8 H
0.206158 17 10 8 H
0.237725 17 9 8 H
0.250492 17 10 8 H
0.273112 17 10 7 H
0.306839 17 10 6 H
0.337366 17 9 6 H
0.363048 17 9 7 H
0.390097 17 9 6 H
0.408044 17 10 6 H
0.428092 17 11 6 H
0.466775 17 10 6 H
0.489729 17 10 5 H
0.521074 17 11 5 H
0.539505 17 10 5 H
0.566076 17 9 5 H
0.606412 17 9 6 H
0.631018 17 9 7 H
0.676572 17 9 6 H
0.720051 17 9 5 H
0.732910 17 8 5 H
