Family,File,Algorithm,Start,End,Distance
Random4-n,Random4-n.21.0.gr,dijkstra,1,2097152,9051281
Random4-n,Random4-n.21.0.gr,dijkstra,2034546,743850,7258019
Random4-n,Random4-n.21.0.gr,dijkstra,1077896,1288941,9419582
Random4-n,Random4-n.21.0.gr,dijkstra,1736551,1466057,9710734
Random4-n,Random4-n.21.0.gr,dijkstra,1867172,1572287,10146894
Random4-n,Random4-n.21.0.gr,radixheap,1,2097152,9051281
Random4-n,Random4-n.21.0.gr,radixheap,2034546,743850,7258019
Random4-n,Random4-n.21.0.gr,radixheap,1077896,1288941,9419582
Random4-n,Random4-n.21.0.gr,radixheap,1736551,1466057,9710734
Random4-n,Random4-n.21.0.gr,radixheap,1867172,1572287,10146894
Random4-n,Random4-n.21.0.gr,dial,1,2097152,9051281
Random4-n,Random4-n.21.0.gr,dial,2034546,743850,7258019
Random4-n,Random4-n.21.0.gr,dial,1077896,1288941,9419582
Random4-n,Random4-n.21.0.gr,dial,1736551,1466057,9710734
Random4-n,Random4-n.21.0.gr,dial,1867172,1572287,10146894
Random4-C,Random4-C.15.0.gr,dijkstra,1,1048576,3471241820
Random4-C,Random4-C.15.0.gr,dijkstra,444759,800207,3716010485
Random4-C,Random4-C.15.0.gr,dijkstra,686626,232444,4556581467
Random4-C,Random4-C.15.0.gr,dijkstra,673197,98866,4203076340
Random4-C,Random4-C.15.0.gr,dijkstra,1021281,325709,4709910580
Random4-C,Random4-C.15.0.gr,radixheap,1,1048576,3471241820
Random4-C,Random4-C.15.0.gr,radixheap,444759,800207,3716010485
Random4-C,Random4-C.15.0.gr,radixheap,686626,232444,4556581467
Random4-C,Random4-C.15.0.gr,radixheap,673197,98866,4203076340
Random4-C,Random4-C.15.0.gr,radixheap,1021281,325709,4709910580
Long-n,Long-n.21.0.gr,dijkstra,1,2097152,31336751771
Long-n,Long-n.21.0.gr,dijkstra,1129560,127916,9965750411
Long-n,Long-n.21.0.gr,dijkstra,1576683,1206028,21560474202
Long-n,Long-n.21.0.gr,dijkstra,2060461,1027721,57696130334
Long-n,Long-n.21.0.gr,dijkstra,1962882,683857,77467282416
Long-n,Long-n.21.0.gr,radixheap,1,2097152,31336751771
Long-n,Long-n.21.0.gr,radixheap,1129560,127916,9965750411
Long-n,Long-n.21.0.gr,radixheap,1576683,1206028,21560474202
Long-n,Long-n.21.0.gr,radixheap,2060461,1027721,57696130334
Long-n,Long-n.21.0.gr,radixheap,1962882,683857,77467282416
Long-C,Long-C.15.0.gr,dijkstra,1,1048576,1308259008765
Long-C,Long-C.15.0.gr,dijkstra,793937,951178,18933675651677
Long-C,Long-C.15.0.gr,dijkstra,15437,687039,15251286310518
Long-C,Long-C.15.0.gr,dijkstra,114389,631565,8783851928678
Long-C,Long-C.15.0.gr,dijkstra,703432,426039,2833347254528
Long-C,Long-C.15.0.gr,radixheap,1,1048576,1308259008765
Long-C,Long-C.15.0.gr,radixheap,793937,951178,18933675651677
Long-C,Long-C.15.0.gr,radixheap,15437,687039,15251286310518
Long-C,Long-C.15.0.gr,radixheap,114389,631565,8783851928678
Long-C,Long-C.15.0.gr,radixheap,703432,426039,2833347254528
Square-n,Square-n.21.0.gr,dijkstra,1,2096704,714640488
Square-n,Square-n.21.0.gr,dijkstra,1600895,749967,557997500
Square-n,Square-n.21.0.gr,dijkstra,696794,1380083,813137031
Square-n,Square-n.21.0.gr,dijkstra,1177086,2005976,136988739
Square-n,Square-n.21.0.gr,dijkstra,1684148,601217,805765832
Square-n,Square-n.21.0.gr,radixheap,1,2096704,714640488
Square-n,Square-n.21.0.gr,radixheap,1600895,749967,557997500
Square-n,Square-n.21.0.gr,radixheap,696794,1380083,813137031
Square-n,Square-n.21.0.gr,radixheap,1177086,2005976,136988739
Square-n,Square-n.21.0.gr,radixheap,1684148,601217,805765832
Square-n,Square-n.21.0.gr,dial,1,2096704,714640488
Square-n,Square-n.21.0.gr,dial,1600895,749967,557997500
Square-n,Square-n.21.0.gr,dial,696794,1380083,813137031
Square-n,Square-n.21.0.gr,dial,1177086,2005976,136988739
Square-n,Square-n.21.0.gr,dial,1684148,601217,805765832
Square-C,Square-C.15.0.gr,dijkstra,1,1048576,122219500320
Square-C,Square-C.15.0.gr,dijkstra,817580,171709,190833725805
Square-C,Square-C.15.0.gr,dijkstra,228343,927715,217323412158
Square-C,Square-C.15.0.gr,dijkstra,275177,97630,237429884046
Square-C,Square-C.15.0.gr,dijkstra,131863,241030,170759520241
Square-C,Square-C.15.0.gr,radixheap,1,1048576,122219500320
