Family,File,dial,dijkstra,radixheap
Long-C,Long-C.0.0.gr,128.54,273.9,130.77
Long-C,Long-C.1.0.gr,123.82,246.11,145.52
Long-C,Long-C.10.0.gr,,226.98,306.1
Long-C,Long-C.11.0.gr,,219.02,309.78
Long-C,Long-C.12.0.gr,,222.84,315.29
Long-C,Long-C.13.0.gr,,217.5,312.78
Long-C,Long-C.14.0.gr,,225.43,322.74
Long-C,Long-C.15.0.gr,,219.41,319.29
Long-C,Long-C.2.0.gr,132.0,238.71,191.18
Long-C,Long-C.3.0.gr,147.18,236.92,244.54
Long-C,Long-C.4.0.gr,175.06,226.22,281.79
Long-C,Long-C.5.0.gr,235.7,226.08,299.02
Long-C,Long-C.6.0.gr,446.14,222.6,302.29
Long-C,Long-C.7.0.gr,1204.04,223.4,301.69
Long-C,Long-C.8.0.gr,4479.86,230.49,305.48
Long-C,Long-C.9.0.gr,19157.17,214.96,302.23
Long-n,Long-n.10.0.gr,0.18,0.09,0.2
Long-n,Long-n.11.0.gr,0.51,0.22,0.31
Long-n,Long-n.12.0.gr,1.63,0.35,0.68
Long-n,Long-n.13.0.gr,5.71,0.74,1.29
Long-n,Long-n.14.0.gr,20.49,1.6,2.7
Long-n,Long-n.15.0.gr,65.71,3.34,5.53
Long-n,Long-n.16.0.gr,293.35,7.17,11.83
Long-n,Long-n.17.0.gr,1073.96,16.77,25.15
Long-n,Long-n.18.0.gr,4175.91,39.97,58.2
Long-n,Long-n.19.0.gr,19381.19,98.38,139.56
Long-n,Long-n.20.0.gr,,218.36,301.29
Long-n,Long-n.21.0.gr,,480.21,650.86
Random4-C,Random4-C.0.0.gr,202.82,451.57,233.84
Random4-C,Random4-C.1.0.gr,198.99,468.69,227.07
Random4-C,Random4-C.10.0.gr,593.02,513.74,480.59
Random4-C,Random4-C.11.0.gr,871.37,501.28,489.63
Random4-C,Random4-C.12.0.gr,1581.03,499.62,493.1
Random4-C,Random4-C.13.0.gr,3998.68,494.01,495.08
Random4-C,Random4-C.14.0.gr,13595.35,501.77,499.44
Random4-C,Random4-C.15.0.gr,,512.59,503.67
Random4-C,Random4-C.2.0.gr,195.96,508.83,228.17
Random4-C,Random4-C.3.0.gr,192.98,518.35,226.36
Random4-C,Random4-C.4.0.gr,194.88,530.97,240.2
Random4-C,Random4-C.5.0.gr,202.22,552.36,249.7
Random4-C,Random4-C.6.0.gr,205.11,530.73,256.06
Random4-C,Random4-C.7.0.gr,222.33,533.81,273.43
Random4-C,Random4-C.8.0.gr,301.97,525.18,301.86
Random4-C,Random4-C.9.0.gr,431.78,528.51,377.18
Random4-n,Random4-n.10.0.gr,0.13,0.13,0.22
Random4-n,Random4-n.11.0.gr,0.4,0.29,0.39
Random4-n,Random4-n.12.0.gr,0.58,0.64,0.73
Random4-n,Random4-n.13.0.gr,1.26,1.43,1.55
Random4-n,Random4-n.14.0.gr,2.75,3.19,3.39
Random4-n,Random4-n.15.0.gr,8.21,7.17,7.07
Random4-n,Random4-n.16.0.gr,20.78,16.73,17.68
Random4-n,Random4-n.17.0.gr,51.95,45.45,42.89
Random4-n,Random4-n.18.0.gr,131.85,105.24,97.15
Random4-n,Random4-n.19.0.gr,289.93,237.84,219.5
Random4-n,Random4-n.20.0.gr,620.08,511.35,478.97
Random4-n,Random4-n.21.0.gr,1295.25,1156.79,985.83
Square-C,Square-C.0.0.gr,142.12,385.14,156.26
Square-C,Square-C.1.0.gr,135.38,320.22,145.36
Square-C,Square-C.10.0.gr,2309.54,311.78,395.34
Square-C,Square-C.11.0.gr,7157.58,333.07,382.4
Square-C,Square-C.12.0.gr,,322.12,380.89
Square-C,Square-C.13.0.gr,,318.96,373.93
Square-C,Square-C.14.0.gr,,314.11,391.62
Square-C,Square-C.15.0.gr,,322.94,381.91
Square-C,Square-C.2.0.gr,142.35,339.57,158.34
Square-C,Square-C.3.0.gr,143.16,331.41,161.58
Square-C,Square-C.4.0.gr,157.95,325.08,182.01
Square-C,Square-C.5.0.gr,160.75,327.3,224.42
Square-C,Square-C.6.0.gr,188.97,328.13,301.21
Square-C,Square-C.7.0.gr,225.25,323.26,333.92
Square-C,Square-C.8.0.gr,338.15,309.97,349.81
Square-C,Square-C.9.0.gr,715.74,307.12,354.33
Square-n,Square-n.10.0.gr,0.19,0.12,0.39
Square-n,Square-n.11.0.gr,0.6,0.2,0.47
Square-n,Square-n.12.0.gr,1.02,0.44,0.68
Square-n,Square-n.13.0.gr,2.01,0.97,1.8
Square-n,Square-n.14.0.gr,5.19,2.01,3.04
Square-n,Square-n.15.0.gr,12.9,4.31,5.68
Square-n,Square-n.16.0.gr,38.27,9.11,12.52
Square-n,Square-n.17.0.gr,101.51,23.07,28.55
Square-n,Square-n.18.0.gr,284.19,54.8,69.83
Square-n,Square-n.19.0.gr,763.36,136.17,164.38
Square-n,Square-n.20.0.gr,2249.37,301.22,343.11
Square-n,Square-n.21.0.gr,6083.82,673.93,779.35
USA-road-d,USA-road-d.BAY.gr,49.09,42.19,56.05
USA-road-d,USA-road-d.CAL.gr,330.43,287.64,365.52
USA-road-d,USA-road-d.COL.gr,89.06,59.43,75.13
USA-road-d,USA-road-d.E.gr,543.49,577.96,704.93
USA-road-d,USA-road-d.FLA.gr,192.63,150.19,187.64
USA-road-d,USA-road-d.LKS.gr,451.26,441.87,531.65
USA-road-d,USA-road-d.NE.gr,192.96,225.62,272.88
USA-road-d,USA-road-d.NW.gr,185.94,163.66,228.22
USA-road-d,USA-road-d.NY.gr,32.89,36.36,46.72
