Family,File,Nodes,Algorithm,AvgTime_ms
Random4-n,Random4-n.10.0.gr,1024,dijkstra-single,0.17
Random4-n,Random4-n.10.0.gr,1024,dijkstra-random,0.13
Random4-n,Random4-n.10.0.gr,1024,radixheap-single,0.22
Random4-n,Random4-n.10.0.gr,1024,radixheap-random,0.22
Random4-n,Random4-n.10.0.gr,1024,dial-single,0.16
Random4-n,Random4-n.10.0.gr,1024,dial-random,0.13
Random4-n,Random4-n.11.0.gr,2048,dijkstra-single,0.39
Random4-n,Random4-n.11.0.gr,2048,dijkstra-random,0.29
Random4-n,Random4-n.11.0.gr,2048,radixheap-single,0.4
Random4-n,Random4-n.11.0.gr,2048,radixheap-random,0.39
Random4-n,Random4-n.11.0.gr,2048,dial-single,0.31
Random4-n,Random4-n.11.0.gr,2048,dial-random,0.4
Random4-n,Random4-n.12.0.gr,4096,dijkstra-single,0.74
Random4-n,Random4-n.12.0.gr,4096,dijkstra-random,0.64
Random4-n,Random4-n.12.0.gr,4096,radixheap-single,0.81
Random4-n,Random4-n.12.0.gr,4096,radixheap-random,0.73
Random4-n,Random4-n.12.0.gr,4096,dial-single,0.7
Random4-n,Random4-n.12.0.gr,4096,dial-random,0.58
Random4-n,Random4-n.13.0.gr,8192,dijkstra-single,1.63
Random4-n,Random4-n.13.0.gr,8192,dijkstra-random,1.43
Random4-n,Random4-n.13.0.gr,8192,radixheap-single,1.81
Random4-n,Random4-n.13.0.gr,8192,radixheap-random,1.55
Random4-n,Random4-n.13.0.gr,8192,dial-single,1.45
Random4-n,Random4-n.13.0.gr,8192,dial-random,1.26
Random4-n,Random4-n.14.0.gr,16384,dijkstra-single,3.62
Random4-n,Random4-n.14.0.gr,16384,dijkstra-random,3.19
Random4-n,Random4-n.14.0.gr,16384,radixheap-single,3.4
Random4-n,Random4-n.14.0.gr,16384,radixheap-random,3.39
Random4-n,Random4-n.14.0.gr,16384,dial-single,3.16
Random4-n,Random4-n.14.0.gr,16384,dial-random,2.75
Random4-n,Random4-n.15.0.gr,32768,dijkstra-single,7.27
Random4-n,Random4-n.15.0.gr,32768,dijkstra-random,7.17
Random4-n,Random4-n.15.0.gr,32768,radixheap-single,7.67
Random4-n,Random4-n.15.0.gr,32768,radixheap-random,7.07
Random4-n,Random4-n.15.0.gr,32768,dial-single,6.86
Random4-n,Random4-n.15.0.gr,32768,dial-random,8.21
Random4-n,Random4-n.16.0.gr,65536,dijkstra-single,17.22
Random4-n,Random4-n.16.0.gr,65536,dijkstra-random,16.73
Random4-n,Random4-n.16.0.gr,65536,radixheap-single,21.1
Random4-n,Random4-n.16.0.gr,65536,radixheap-random,17.68
Random4-n,Random4-n.16.0.gr,65536,dial-single,22.97
Random4-n,Random4-n.16.0.gr,65536,dial-random,20.78
Random4-n,Random4-n.17.0.gr,131072,dijkstra-single,46.34
Random4-n,Random4-n.17.0.gr,131072,dijkstra-random,45.45
Random4-n,Random4-n.17.0.gr,131072,radixheap-single,43.68
Random4-n,Random4-n.17.0.gr,131072,radixheap-random,42.89
Random4-n,Random4-n.17.0.gr,131072,dial-single,48.94
